ID_number,Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem,Aggression_component,Shyness_component,Extraversion_component
2905,8.0247,1,1,RUS,4,5,1,2,4,1,1,2,4,3,1,0,1,-0.255696429,1.365457502,-1.073653136
2906,1.4438,1,1,MCO,6,5,1,4,5,1,1,2,2,1,3,2,1,0.028023053,-0.41065163,0.699318887
2907,1.1479,2,1,CRX,6,0,1,5,4,1,1,1,2,2,3,0,1,-0.495816989,0.344516013,0.836611805
2908,4.4,1,1,CRX,6,1,1,5,5,1,1,1,2,1,1,1,1,-0.402461856,-0.175096499,1.401121768
2909,4.0712,2,1,SBI,4,5,1,4,4,1,1,1,2,2,1,2,1,-0.486086287,0.155414196,0.101808225
2910,4.2932,1,1,RAG,4,5,1,4,5,1,1,1,1,1,3,0,1,-0.320714098,-0.923637979,0.562644532
2911,5.2548,1,1,HCS,2,5,1,4,5,1,1,1,2,1,1,0,2,-0.392731154,-0.364198316,0.666318189
2912,1.8493,1,1,RAG,4,5,1,4,5,1,1,1,1,1,2,0,1,-0.320714098,-0.923637979,0.562644532
2913,8.611,1,1,BUR,6,5,1,5,5,1,1,3,2,1,1,2,1,0.439046559,-0.268003128,1.467123165
2914,8.4932,1,1,HCS,1,1,1,2,3,4,1,2,2,2,2,2,2,2.901694488,-0.647212617,-2.010219604
2915,0.4055,2,0,BUR,4,1,1,5,4,1,1,1,2,1,3,4,1,-0.430025348,-0.171304914,0.782814018
2916,9.6712,1,1,PER,4,0,1,2,4,1,1,1,1,1,2,0,1,-0.328816187,-1.298050029,-1.525270377
2917,3.3205,1,1,HCS,4,0,1,4,4,1,1,1,1,1,1,0,1,-0.348277591,-0.919846395,-0.055663218
2918,1.1808,2,1,HCS,4,0,1,3,2,1,1,2,5,5,1,0,2,-0.524154454,3.153224005,-1.364195827
2919,14.926,1,1,CRX,4,1,0,5,5,1,1,1,1,1,1,0,1,-0.3304448,-0.734536162,1.297448112
2920,4.4384,2,1,PER,4,1,1,3,4,1,1,1,4,2,1,2,1,-0.620389697,1.085191707,-0.425648041
2921,4.2384,2,1,DRX,8,1,1,4,4,1,1,1,1,1,1,0,1,-0.348277591,-0.919846395,-0.055663218
2922,4.6,2,1,TUV,5,0,1,3,4,1,1,1,2,1,1,0,1,-0.410563945,-0.549508548,-0.686793141
2923,1.4493,2,1,ABY,5,3,1,5,5,1,1,2,3,2,3,0,1,-0.119516345,0.853710777,1.59159391
2924,3.9671,2,1,DRX,4,2,1,4,4,1,1,1,1,1,1,0,1,-0.348277591,-0.919846395,-0.055663218
2925,11.1589,2,1,MCO,4,5,1,2,2,1,3,1,4,5,1,0,2,1.509940248,1.925691382,-2.293045619
2926,1.3041,2,0,DRX,8,1,1,4,4,1,1,1,1,1,1,0,1,-0.348277591,-0.919846395,-0.055663218
2927,1.189,2,0,DRX,8,2,1,5,4,1,1,1,1,1,1,0,1,-0.358008292,-0.730744578,0.679140362
2928,0.8548,1,1,DRX,8,2,1,4,4,1,1,1,1,1,1,0,1,-0.348277591,-0.919846395,-0.055663218
2929,15.8575,2,1,BUR,4,1,1,4,5,1,1,1,1,2,1,0,1,-0.386505739,-0.407817053,0.616442319
2930,10.611,2,1,EUR,4,5,1,3,3,1,1,1,2,1,1,0,1,-0.438127437,-0.545716964,-1.305100892
2931,0.5671,2,0,BUR,4,2,1,5,4,1,1,1,2,2,3,3,1,-0.495816989,0.344516013,0.836611805
2932,7.3151,1,1,MCO,4,5,1,3,4,1,1,3,3,2,2,4,1,0.293135773,0.432845413,-0.463320302
2933,2.5452,1,0,SIB,5,5,1,5,5,1,1,2,2,4,1,4,1,-0.179082572,1.325912967,1.595515827
2934,3.5123,1,1,KOR,8,1,1,4,4,1,1,2,2,1,3,0,,0.000459561,-0.406860046,0.081011137
2935,2.1315,2,1,BEN,5,5,1,4,5,1,1,2,2,2,3,0,1,-0.037768588,0.105169297,0.753116674
2936,8.3041,1,1,SIB,6,5,1,4,5,1,1,1,1,1,1,0,1,-0.320714098,-0.923637979,0.562644532
2937,0.4767,2,0,BEN,8,0,1,5,5,1,1,1,1,3,3,0,1,-0.462028082,0.297105691,1.405043686
2938,2.3918,1,1,PER,4,1,0,4,5,1,2,3,3,3,3,0,1,1.431727499,0.871254344,0.914902886
2939,0.8521,2,0,KOR,5,5,1,5,5,1,1,1,1,1,1,4,1,-0.3304448,-0.734536162,1.297448112
2940,0.5753,2,0,RAG,4,3,0,2,4,1,1,1,2,2,2,0,1,-0.466624884,-0.222789438,-1.367798934
2941,2.1589,2,1,KOR,7,5,1,5,5,1,1,1,2,1,1,4,2,-0.402461856,-0.175096499,1.401121768
2942,0.6575,2,0,other,4,2,1,4,5,1,1,1,1,1,2,0,1,-0.320714098,-0.923637979,0.562644532
2943,2.1753,2,1,NFO,4,0,0,4,3,2,2,1,3,4,3,1,1,1.46101001,1.360311253,-0.352954097
2944,8.5616,2,1,KOR,6,5,1,4,5,1,1,1,2,1,1,0,1,-0.392731154,-0.364198316,0.666318189
2945,0.8137,1,1,NFO,6,2,0,4,4,1,1,1,2,3,3,0,1,-0.551877929,0.671235123,0.155606012
2946,2.4767,2,1,SIB,4,3,1,4,4,1,1,1,2,1,3,,1,-0.420294646,-0.360406731,0.048010438
2947,1.2329,1,0,PER,6,5,0,4,4,1,1,2,2,2,2,0,1,-0.06533208,0.108960881,0.134808923
